"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://wealthsimplebonus.ca/fr/comment-ca-fonctionne","3","Guide de configuration détaillé","31","Conseils de pro","15","Indexable",""
"https://wealthsimplebonus.ca/fr/conditions","11","1. Acceptation des conditions","29","2. Objectif du site Web","23","Indexable",""
"https://wealthsimplebonus.ca/fr/contact","4","Comment nous pouvons vous aider","31","Questions courantes que nous abordons","37","Indexable",""
"https://wealthsimplebonus.ca/fr/categorie/codes-de-parrainage","5","Code parrainage Wealthsimple 2026 : Prime 25$ (Guide Ultime)","60","Comment ajouter un code de parrainage Wealthsimple après l'inscription (Guide 2026)","83","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/code-promo-vs-code-parrainage","11","Comparaison rapide : Code promo vs Code de parrainage","53","Qu’est-ce qu’un code promo Wealthsimple ?","41","Indexable",""
"https://wealthsimplebonus.ca/fr/etiquette/code-promo-wealthsimple","2","Code parrainage Wealthsimple 2026 : Prime 25$ (Guide Ultime)","60","Code Promo Wealthsimple 2026 : Primes & Offres (Guide)","54","Indexable",""
"https://wealthsimplebonus.ca/fr/etiquette/code-de-parrainage-wealthsimple","2","Code parrainage Wealthsimple 2026 : Prime 25$ (Guide Ultime)","60","Comment ajouter un code de parrainage Wealthsimple après l'inscription (Guide 2026)","83","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/defi-echelle-parrainage","11","Comment fonctionne l’échelle de parrainage","42","Exemple concret","15","Indexable",""
"https://wealthsimplebonus.ca/fr/etiquette/prime-wealthsimple","2","Code parrainage Wealthsimple 2026 : Prime 25$ (Guide Ultime)","60","Comment ajouter un code de parrainage Wealthsimple après l'inscription (Guide 2026)","83","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/core-vs-premium-vs-generation","10","Les trois paliers en un coup d’œil","34","Palier Core : Le point de départ","32","Indexable",""
"https://wealthsimplebonus.ca/fr/categorie/comparaisons","3","Wealthsimple Crypto vs Newton vs Shakepay (Avis 2026)","53","Wealthsimple vs Questrade 2026 : Comparatif & Frais","51","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/wealthsimple-vs-questrade-2025","12","Aperçu rapide","13","Structure des commissions","25","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/evaluation-compte-wealthsimple-comptant","11","Aperçu du compte Cash","21","Taux d’intérêt actuels (décembre 2025)","38","Indexable",""
"https://wealthsimplebonus.ca/category/reviews","2","Wealthsimple Cash Review 2026: Rates & Features (Updated)","57","Wealthsimple Tax Review 2026: Free Tax Filing for Canadians","59","Indexable",""
"https://wealthsimplebonus.ca/blog/wealthsimple-tax-review-2025","14","What Is Wealthsimple Tax?","25","Key Features","12","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/evaluation-wealthsimple-impot-2025","12","Qu’est-ce que Wealthsimple Impôt ?","34","Fonctionnalités clés","20","Indexable",""
"https://wealthsimplebonus.ca/fr/categorie/evaluations","2","Avis Wealthsimple Cash 2026 : Intérêts & Carte (Évaluation)","59","Avis Wealthsimple Impôt 2026 : Gratuit & Simple (Canadiens)","59","Indexable",""
